state_code,district_code,subdistrict_code,panchayat_town_code,name_en,name_hi_x,name_hi
0,0,0,0,INDIA,भारत,भारत
1,0,0,0,STATE,जम्मू और कश्मीर,जम्मू और कश्मीर
1,1,0,0,DISTRICT,कुपवाड़ा,कुपवाड़ा
1,1,1,0,SUB-DISTRICT,कुपवाड़ा,कुपवाड़ा
1,1,2,0,SUB-DISTRICT,हन्दवारा,हन्दवारा
1,1,3,0,SUB-DISTRICT,करनाह,करनाह
1,2,0,0,DISTRICT,बडगाम,बडगाम
1,2,4,0,SUB-DISTRICT,खाग,खाग
1,2,5,0,SUB-DISTRICT,बीरवाह,बीरवाह
1,2,6,0,SUB-DISTRICT,खानसाहिब,खानसाहिब
1,2,7,0,SUB-DISTRICT,बडगाम,बडगाम
1,2,8,0,SUB-DISTRICT,चाडूरा,चाडूरा
1,2,9,0,SUB-DISTRICT,चरार-इ-शरीफ,चरार-इ-शरीफ
1,3,0,0,DISTRICT,लेह (लद्दाख),लेह (लद्दाख)
1,3,10,0,SUB-DISTRICT,लेह,लेह
1,3,11,0,SUB-DISTRICT,नोबरा,नोबरा
1,3,12,0,SUB-DISTRICT,खलसी,खलसी
1,4,0,0,DISTRICT,कारगिल,कारगिल
1,4,13,0,SUB-DISTRICT,कारगिल,कारगिल
1,4,14,0,SUB-DISTRICT,सांकू,सांकू
1,4,15,0,SUB-DISTRICT,जान्सकार,जान्सकार
1,5,0,0,DISTRICT,पुंछ,पुंछ
1,5,16,0,SUB-DISTRICT,हवेली,हवेली
1,5,17,0,SUB-DISTRICT,मंडी,मंडी
1,5,18,0,SUB-DISTRICT,मेंढर,मेंढर
1,5,19,0,SUB-DISTRICT,सुरनकोट,सुरनकोट
1,6,0,0,DISTRICT,राजौरी,राजौरी
1,6,20,0,SUB-DISTRICT,थानामंडी,थानामंडी
1,6,21,0,SUB-DISTRICT,दरहाल,दरहाल
1,6,22,0,SUB-DISTRICT,राजौरी,राजौरी
1,6,23,0,SUB-DISTRICT,बुदहल,बुदहल
